DATE,NASDAQCOM,Change
1972-11-15,132.45,-0.003386005
1972-11-16,132.62,0.001283503
1972-11-17,132.33,-0.002186699
1972-11-20,132.12,-0.001586942
1972-11-21,132.19,0.000529821
1972-11-22,132.49,0.002269461
1972-11-23,132.49,0
1972-11-24,133.02,0.004000302
1972-11-27,132.57,-0.00338295
1972-11-28,132.71,0.001056046
1972-11-29,132.73,0.000150705
1972-11-30,132.96,0.001732841
1972-12-01,133.94,0.007370638
1972-12-04,134.14,0.001493206
1972-12-05,134.28,0.001043686
1972-12-06,134.68,0.00297885
1972-12-07,135.06,0.002821503
1972-12-08,135.15,0.000666371
1972-12-11,134.83,-0.00236774
1972-12-12,134.27,-0.004153378
1972-12-13,133.66,-0.004543085
1972-12-14,133.33,-0.002468951
1972-12-15,133.53,0.001500038
1972-12-18,132.54,-0.007414064
1972-12-19,132.39,-0.001131734
1972-12-20,131.93,-0.003474583
1972-12-21,131.08,-0.006442811
1972-12-22,131.28,0.001525786
1972-12-25,131.28,0
1972-12-26,131.18,-0.000761731
1972-12-27,131.93,0.005717335
1972-12-28,131.93,0
1972-12-29,133.73,0.013643599
1973-01-01,133.73,0
1973-01-02,134.63,0.006729978
1973-01-03,135.38,0.005570824
1973-01-04,135.44,0.000443197
1973-01-05,135.91,0.003470171
1973-01-08,136.02,0.000809359
1973-01-09,135.99,-0.000220556
1973-01-10,136.06,0.000514744
1973-01-11,136.84,0.005732765
1973-01-12,136.01,-0.006065478
1973-01-15,134.6,-0.010366885
1973-01-16,134.03,-0.00423477
1973-01-17,134.07,0.000298441
1973-01-18,134.34,0.002013873
1973-01-19,133.87,-0.003498586
1973-01-22,133.15,-0.005378352
1973-01-23,132.44,-0.005332332
1973-01-24,130.49,-0.014723648
1973-01-25,130.49,0
1973-01-26,129.76,-0.005594298
1973-01-29,128.46,-0.010018496
1973-01-30,128.22,-0.001868286
1973-01-31,128.4,0.001403837
1973-02-01,126.94,-0.011370717
1973-02-02,126.48,-0.003623759
1973-02-05,126,-0.003795066
1973-02-06,126.27,0.002142857
1973-02-07,124.99,-0.010137008
1973-02-08,123.97,-0.008160653
1973-02-09,125.86,0.015245624
1973-02-12,126.88,0.008104243
1973-02-13,127.19,0.002443253
1973-02-14,125.42,-0.013916188
1973-02-15,124.43,-0.007893478
1973-02-16,124.55,0.000964398
1973-02-19,124.55,0
1973-02-20,125.01,0.003693296
1973-02-21,123.95,-0.008479322
1973-02-22,123.68,-0.002178298
1973-02-23,122.34,-0.010834411
1973-02-26,121.27,-0.008746117
1973-02-27,119.8,-0.012121712
1973-02-28,120.41,0.00509182
1973-03-01,119.53,-0.007308363
1973-03-02,120.11,0.004852338
1973-03-05,120.55,0.003663309
1973-03-06,121.91,0.011281626
1973-03-07,122.28,0.003035026
1973-03-08,122.11,-0.001390252
1973-03-09,121.99,-0.00098272
1973-03-12,121.86,-0.001065661
1973-03-13,122.09,0.001887412
1973-03-14,122.1,8.19E-05
1973-03-15,121.6,-0.004095004
1973-03-16,121.22,-0.003125
1973-03-19,119.94,-0.010559314
1973-03-20,119.26,-0.005669501
1973-03-21,117.89,-0.011487506
1973-03-22,115.69,-0.018661464
1973-03-23,115.47,-0.001901634
1973-03-26,115.54,0.000606218
1973-03-27,116.89,0.011684265
1973-03-28,117.14,0.002138763
1973-03-29,118.19,0.008963633
1973-03-30,117.46,-0.006176495
1973-04-02,115.79,-0.014217606
1973-04-03,114.47,-0.011399948
1973-04-04,112.89,-0.013802743
1973-04-05,112.02,-0.007706617
1973-04-06,113.27,0.011158722
1973-04-09,114.01,0.006533063
1973-04-10,114.81,0.007016928
1973-04-11,115.29,0.00418082
1973-04-12,115.59,0.002602134
1973-04-13,115.22,-0.003200969
1973-04-16,114.55,-0.005814963
1973-04-17,113.64,-0.007944129
1973-04-18,113.71,0.00061598
1973-04-19,114.15,0.003869493
1973-04-20,114.15,0
1973-04-23,113.02,-0.009899255
1973-04-24,111.23,-0.015837905
1973-04-25,109.37,-0.016722107
1973-04-26,109.72,0.003200146
1973-04-27,108.4,-0.012030623
1973-04-30,107.85,-0.005073801
1973-05-01,107.96,0.001019935
1973-05-02,109.05,0.010096332
1973-05-03,109.81,0.00696928
1973-05-04,110.89,0.00983517
1973-05-07,110.48,-0.003697358
1973-05-08,110.67,0.001719768
1973-05-09,110.54,-0.001174663
1973-05-10,110.32,-0.00199023
1973-05-11,109.1,-0.011058738
1973-05-14,106.46,-0.024197984
1973-05-15,106.14,-0.003005824
1973-05-16,106.1,-0.000376861
1973-05-17,105.19,-0.008576814
1973-05-18,102.89,-0.021865196
1973-05-21,100.76,-0.02070172
1973-05-22,101.59,0.008237396
1973-05-23,102.09,0.004921744
1973-05-24,104.27,0.021353708
1973-05-25,105.17,0.008631438
1973-05-28,105.17,0
1973-05-29,104.85,-0.003042693
1973-05-30,103.19,-0.015832141
1973-05-31,102.64,-0.005329974
1973-06-01,102.3,-0.003312549
1973-06-04,100.77,-0.014956012
1973-06-05,101.71,0.009328173
1973-06-06,101.7,-9.83E-05
1973-06-07,102.57,0.008554572
1973-06-08,103.72,0.011211855
1973-06-11,103.04,-0.006556113
1973-06-12,104.79,0.016983696
1973-06-13,104.33,-0.004389732
1973-06-14,103.56,-0.007380427
1973-06-15,102.26,-0.012553109
1973-06-18,100.77,-0.014570702
1973-06-19,100.96,0.001885482
1973-06-20,101.19,0.00227813
1973-06-21,100.4,-0.007807096
1973-06-22,100.99,0.005876494
1973-06-25,99.43,-0.015447074
1973-06-26,99.96,0.005330383
1973-06-27,100.22,0.00260104
1973-06-28,101.16,0.009379365
1973-06-29,100.98,-0.001779359
1973-07-02,100.15,-0.008219449
1973-07-03,99.45,-0.006989516
1973-07-04,99.45,0
1973-07-05,99.39,-0.000603318
1973-07-06,99.48,0.000905524
1973-07-09,100.01,0.005327704
1973-07-10,101.18,0.01169883
1973-07-11,102.69,0.014923898
1973-07-12,103.17,0.004674262
1973-07-13,103.03,-0.001356984
1973-07-16,103.97,0.009123556
1973-07-17,104.64,0.006444167
1973-07-18,105.77,0.01079893
1973-07-19,106.52,0.007090858
1973-07-20,107.68,0.010889974
1973-07-23,107.75,0.000650074
1973-07-24,108.29,0.005011601
1973-07-25,109.19,0.008311017
1973-07-26,109.17,-0.000183167
1973-07-27,109.36,0.001740405
1973-07-30,108.88,-0.004389173
1973-07-31,108.64,-0.002204262
1973-08-01,107.13,-0.013899116
1973-08-02,106.98,-0.001400168
1973-08-03,106.82,-0.001495607
1973-08-06,107.21,0.003651002
1973-08-07,107.3,0.000839474
1973-08-08,106.13,-0.010904007
1973-08-09,106.15,0.000188448
1973-08-10,105.32,-0.007819124
1973-08-13,104.35,-0.009210027
1973-08-14,103.59,-0.007283182
1973-08-15,103.35,-0.002316826
1973-08-16,103.31,-0.000387034
1973-08-17,103.71,0.003871842
1973-08-20,102.67,-0.010027963
1973-08-21,102.12,-0.005356969
1973-08-22,101.34,-0.007638073
1973-08-23,102.53,0.011742649
1973-08-24,102.4,-0.001267922
1973-08-27,102.91,0.004980469
1973-08-28,102.99,0.000777378
1973-08-29,103.79,0.007767744
1973-08-30,103.99,0.001926968
1973-08-31,104.87,0.008462352
1973-09-03,104.87,0
1973-09-04,105.5,0.006007438
1973-09-05,106.03,0.005023697
1973-09-06,106.36,0.003112327
1973-09-07,107.02,0.00620534
1973-09-10,106.25,-0.007194917
1973-09-11,105.77,-0.004517647
1973-09-12,105.33,-0.00415997
1973-09-13,105.6,0.002563372
1973-09-14,106.07,0.004450758
1973-09-17,106.27,0.001885547
1973-09-18,106.3,0.0002823
1973-09-19,107.91,0.015145814
1973-09-20,108.76,0.007876934
1973-09-21,109.46,0.00643619
1973-09-24,109.69,0.002101224
1973-09-25,109.8,0.001002826
1973-09-26,110.62,0.007468124
1973-09-27,111.27,0.005875972
1973-09-28,111.2,-0.0006291
1973-10-01,110.97,-0.002068345
1973-10-02,111.76,0.007119041
1973-10-03,112.13,0.003310666
1973-10-04,111.51,-0.005529296
1973-10-05,112.56,0.009416196
1973-10-08,113.17,0.005419332
1973-10-09,113.07,-0.000883626
1973-10-10,112.17,-0.007959671
1973-10-11,113.56,0.012391905
1973-10-12,114.1,0.004755195
1973-10-15,113.13,-0.008501315
1973-10-16,113.14,8.84E-05
1973-10-17,112.66,-0.004242531
1973-10-18,112.82,0.001420202
1973-10-19,113.25,0.003811381
1973-10-22,112.29,-0.008476821
1973-10-23,111.81,-0.004274646
1973-10-24,112.13,0.002861998
1973-10-25,112.31,0.00160528
1973-10-26,112.79,0.004273885
1973-10-29,112.09,-0.006206224
1973-10-30,110.63,-0.013025248
1973-10-31,110.17,-0.004158004
1973-11-01,109.62,-0.004992285
1973-11-02,108.93,-0.006294472
1973-11-05,107.21,-0.015789957
1973-11-06,106.29,-0.008581289
1973-11-07,106.72,0.004045536
1973-11-08,107.31,0.005528486
1973-11-09,105.77,-0.014350946
1973-11-12,105.08,-0.006523589
1973-11-13,104.74,-0.00323563
1973-11-14,101.98,-0.026350964
1973-11-15,101.63,-0.003432045
1973-11-16,101.38,-0.002459904
1973-11-19,99,-0.023476031
1973-11-20,96.58,-0.024444444
1973-11-21,97.32,0.007662042
1973-11-22,97.32,0
1973-11-23,97.3,-0.000205508
1973-11-26,94.13,-0.032579651
1973-11-27,93.07,-0.011261022
1973-11-28,94.94,0.020092404
1973-11-29,94.62,-0.00337055
1973-11-30,93.51,-0.011731135
1973-12-03,91.97,-0.016468827
1973-12-04,91.56,-0.004457975
1973-12-05,89.73,-0.019986894
1973-12-06,91.27,0.017162599
1973-12-07,92.32,0.011504328
1973-12-10,93.54,0.013214905
1973-12-11,92.2,-0.014325422
1973-12-12,90.81,-0.015075922
1973-12-13,89.12,-0.018610285
1973-12-14,89.63,0.005722621
1973-12-17,89.13,-0.005578489
1973-12-18,90.56,0.016043981
1973-12-19,90.24,-0.003533569
1973-12-20,90.27,0.000332447
1973-12-21,89.52,-0.008308408
1973-12-24,88.67,-0.009495085
1973-12-25,88.67,0
1973-12-26,90.19,0.017142213
1973-12-27,91.25,0.011752966
1973-12-28,91.68,0.004712329
1973-12-31,92.19,0.005562827
1974-01-01,92.19,0
1974-01-02,92.53,0.003688036
1974-01-03,94.18,0.017832054
1974-01-04,94.1,-0.000849437
1974-01-07,94.47,0.003931987
1974-01-08,94.02,-0.004763417
1974-01-09,92.2,-0.019357583
1974-01-10,91.42,-0.00845987
1974-01-11,92.23,0.008860206
1974-01-14,92.4,0.001843218
1974-01-15,93.07,0.007251082
1974-01-16,94.49,0.015257333
1974-01-17,95.95,0.015451371
1974-01-18,95.32,-0.00656592
1974-01-21,94.48,-0.008812421
1974-01-22,95.29,0.008573243
1974-01-23,95.76,0.004932312
1974-01-24,95.61,-0.001566416
1974-01-25,95.4,-0.002196423
1974-01-28,95.02,-0.003983229
1974-01-29,94.56,-0.004841086
1974-01-30,95.17,0.006450931
1974-01-31,94.93,-0.002521803
1974-02-01,94.15,-0.008216581
1974-02-04,92.89,-0.0133829
1974-02-05,92.46,-0.004629131
1974-02-06,92.74,0.003028337
1974-02-07,92.81,0.000754798
1974-02-08,92.2,-0.006572568
1974-02-11,91.13,-0.011605206
1974-02-12,90.5,-0.006913201
1974-02-13,90.08,-0.004640884
1974-02-14,90.21,0.001443162
1974-02-15,90.98,0.008535639
1974-02-18,90.98,0
1974-02-19,90.82,-0.001758628
1974-02-20,91.56,0.008147985
1974-02-21,92.17,0.006662298
1974-02-22,92.93,0.008245633
1974-02-25,92.72,-0.002259765
1974-02-26,93.11,0.004206212
1974-02-27,94.06,0.010202986
1974-02-28,94.35,0.003083138
1974-03-01,94.05,-0.00317965
1974-03-04,93.8,-0.002658161
1974-03-05,94.71,0.009701493
1974-03-06,95.12,0.004329004
1974-03-07,94.53,-0.006202691
